,parcel_id,tax_total,fips,num_bedroom,num_bathroom,tax_delinquency_flag,area_living_finished_total,area_lot,pct_change
165,17092956,253532,Ventura County,3,2,,1244,7920,1.620430386
166,17093317,61682,Ventura County,4,2,,1550,6159,1.620430386
167,17093555,78559,Ventura County,4,3,,1854,6386,1.620430386
168,17093655,252923,Ventura County,3,2,,1502,6437,1.620430386
169,17093678,435456,Ventura County,4,2.5,,2343,6739,1.620430386
170,17093778,88590,Ventura County,5,2.5,,2083,8886,1.620430386
171,17093924,203965,Ventura County,3,2,,1502,6300,1.620430386
172,17094047,535297,Ventura County,4,3,,2622,6379,1.620430386
173,17094138,438590,Ventura County,3,2,,1556,14810,1.620430386
174,17094421,59065,Ventura County,3,2,,1359,6060,1.620430386
175,17094444,86055,Ventura County,3,2,,1350,7548,1.620430386
176,17094790,323978,Ventura County,2,2,,1274,4643,1.620430386
177,17095833,333244,Ventura County,4,2.5,,2170,9103,1.620430386
178,17096600,344774,Ventura County,3,2,,1433,5275,1.620430386
179,17096764,56124,Ventura County,2,2,,1380,7824,1.620430386
180,17097242,51273,Ventura County,3,2,,1331,8450,1.620430386
181,17097342,122445,Ventura County,2,1,,1372,5820,1.620430386
182,17098189,258906,Ventura County,4,2,,1492,6830,1.620430386
183,17098427,396427,Ventura County,3,2,,2136,13045,1.620430386
184,17098496,373097,Ventura County,4,2,,1895,10000,1.620430386
185,17098963,94582,Ventura County,3,2,,1146,5885,1.620430386
186,17099221,185197,Ventura County,2,1,,768,2730,1.620430386
187,17099433,161373,Ventura County,3,1,,840,7417,1.620430386
188,17100192,455520,Ventura County,4,2,,1877,8409,1.620430386
189,17100268,234634,Ventura County,3,2,,1381,4121,1.620430386
190,17100444,47853,Ventura County,3,2,,1101,6569,1.620430386
191,17100490,47974,Ventura County,4,2,,1184,6850,1.620430386
192,17100559,225477,Ventura County,3,2,,1197,5196,1.620430386
193,17100805,364300,Ventura County,4,2,,1500,6189,1.620430386
194,17101581,113006,Ventura County,3,1,,1319,4900,1.620430386
195,17102211,217716,Ventura County,4,2,,1547,6780,1.620430386
196,17102429,62914,Ventura County,2,1.5,,1554,7400,1.620430386
197,17102621,73752,Ventura County,3,2,,1202,6059,1.620430386
198,17102697,182140,Ventura County,3,2.5,,1541,3762,1.620430386
199,17102811,41726,Ventura County,3,1,,1093,6750,1.620430386
200,17104267,164110,Ventura County,3,2.5,,2256,22020,1.620430386
201,17104359,901654,Ventura County,5,3,,2479,28890,1.620430386
202,17104528,177260,Ventura County,4,2.5,,2419,20800,1.620430386
203,17104628,843805,Ventura County,5,3,,4264,20194,1.620430386
206,17105754,664968,Ventura County,5,3.5,,3770,9407,1.620430386
207,17107650,329861,Ventura County,4,2.5,,2071,5611,1.620430386
208,17107796,505000,Ventura County,4,2.5,,1721,5174,1.620430386
209,17108119,149134,Ventura County,4,2,,1192,7390,1.620430386
210,17108219,482000,Ventura County,3,2,,1464,5476,1.620430386
211,17108342,208603,Ventura County,2,2,,1274,6000,1.620430386
212,17108365,304002,Ventura County,4,2.5,,1634,6844,1.620430386
213,17108511,174968,Ventura County,4,3,,2510,7462,1.620430386
214,17108803,269752,Ventura County,3,2.5,,1319,4067,1.620430386
215,17108926,388000,Ventura County,4,2.5,,1469,3420,1.620430386
216,17109604,554000,Ventura County,4,2.5,,2415,6326,1.620430386
217,17109704,263019,Ventura County,4,2,,1430,6752,1.620430386
218,17109927,467000,Ventura County,4,2,,1618,6043,1.620430386
219,17110080,88733,Ventura County,3,2,,1388,6334,1.620430386
220,17110887,223653,Ventura County,4,2.5,,1858,6420,1.620430386
221,17113479,58046,Ventura County,4,2,,1430,6600,1.620430386
222,17114039,234776,Ventura County,2,2,,1047,6000,1.620430386
223,17114162,194654,Ventura County,3,2,,1272,8784,1.620430386
224,17114793,427000,Ventura County,3,2,,1284,6200,1.620430386
225,17115116,84703,Ventura County,5,2.5,,1768,6210,1.620430386
226,17115684,270053,Ventura County,3,2,,1449,3682,1.620430386
227,17117469,187529,Ventura County,4,2,,1733,6309,1.620430386
228,17117960,144064,Ventura County,4,2,,1278,7404,1.620430386
229,17118374,173640,Ventura County,4,2.5,,2032,6534,1.620430386
230,17118666,560240,Ventura County,5,3,,2723,6760,1.620430386
231,17118689,382535,Ventura County,4,2,,2055,6747,1.620430386
232,17118881,314724,Ventura County,3,2,,1849,4000,1.620430386
233,17119334,395089,Ventura County,5,3,,3088,9960,1.620430386
234,17119357,345524,Ventura County,5,3,,2384,10996,1.620430386
235,17119503,413768,Ventura County,4,2.5,,1721,7452,1.620430386
236,17119701,362000,Ventura County,3,1,,1216,7200,1.620430386
237,17119747,45794,Ventura County,3,1.5,,1348,6420,1.620430386
238,17119993,250822,Ventura County,3,2,,1166,6016,1.620430386
239,17120193,57184,Ventura County,4,2,,1308,6016,1.620430386
240,17120316,102718,Ventura County,4,4,,1597,9352,1.620430386
241,17121025,132627,Ventura County,4,2,,1430,6777,1.620430386
242,17121171,308491,Ventura County,4,2,,1178,6300,1.620430386
243,17123393,322163,Ventura County,5,2.5,,2224,7380,1.620430386
244,17123692,506350,Ventura County,3,2,,1284,20000,1.620430386
245,17123876,84583,Ventura County,4,2,,1960,7000,1.620430386
246,17124022,650735,Ventura County,4,3,,2600,9887,1.620430386
247,17124114,594272,Ventura County,5,3,,2971,8273,1.620430386
248,17124214,212250,Ventura County,4,3,,2600,9345,1.620430386
249,17124337,237947,Ventura County,4,2,,1999,8848,1.620430386
251,17125561,504780,Ventura County,3,2,,2104,9880,1.620430386
252,17125691,271682,Ventura County,4,2,,2404,17940,1.620430386
253,17125829,289609,Ventura County,4,2.5,,2882,10000,1.620430386
254,17126212,646000,Ventura County,3,2,,1980,22327,1.620430386
256,17127280,455448,Ventura County,3,2,,1316,7952,1.620430386
257,17128017,488506,Ventura County,4,3,,2217,9455,1.620430386
258,17129139,319699,Ventura County,3,2,,1328,4494,1.620430386
259,17130664,337714,Ventura County,3,1.5,,2027,11300,1.620430386
260,17130809,21380,Ventura County,4,1,,998,4500,1.620430386
261,17132819,443000,Ventura County,3,2,,1344,7200,1.620430386
262,17132911,526000,Ventura County,3,2,,1772,8059,1.620430386
263,17133783,352292,Ventura County,4,2,,1386,8751,1.620430386
264,17133806,433216,Ventura County,4,2,,1386,8240,1.620430386
265,17133943,291122,Ventura County,3,2,,1864,9100,1.620430386
266,17134043,444166,Ventura County,3,2,,1528,7944,1.620430386
267,17134250,268540,Ventura County,3,2,,1500,7100,1.620430386
268,17134519,408126,Ventura County,3,2,,1809,9951,1.620430386
269,17134803,456121,Ventura County,4,2.5,,2377,8312,1.620430386
270,17134926,571086,Ventura County,5,2.5,,2632,7602,1.620430386
271,17135433,412475,Ventura County,3,2,,1772,7205,1.620430386
272,17135556,177782,Ventura County,2,2,,1232,3743,1.620430386
273,17135846,544172,Ventura County,4,2.5,,2052,7171,1.620430386
274,17135876,433000,Ventura County,4,2,,1306,6598,1.620430386
275,17135999,53932,Ventura County,3,2,,1216,6344,1.620430386
276,17136099,81935,Ventura County,4,2,,1690,8900,1.620430386
277,17136199,302972,Ventura County,4,2,,1390,7000,1.620430386
278,17136322,237524,Ventura County,3,2,,1217,7181,1.620430386
279,17136345,375904,Ventura County,3,2,,1216,7200,1.620430386
280,17136491,61103,Ventura County,3,2,,1391,6700,1.620430386
281,17136737,83414,Ventura County,3,2,,1647,7199,1.620430386
282,17137359,425210,Ventura County,4,2,,1429,7007,1.620430386
283,17138066,344208,Ventura County,4,2,,1866,9344,1.620430386
284,17138512,421645,Ventura County,4,2,,1754,7232,1.620430386
285,17138635,343515,Ventura County,4,2,,1754,8113,1.620430386
286,17138758,314424,Ventura County,4,3.5,,2572,7701,1.620430386
287,17138804,339134,Ventura County,4,3.5,,2281,7000,1.620430386
288,17139988,462594,Ventura County,3,2,,1292,7405,1.620430386
289,17140088,343993,Ventura County,5,3,,2105,6005,1.620430386
290,17141303,131005,Ventura County,4,2.5,,2032,8435,1.620430386
291,17141595,215452,Ventura County,3,2,,1582,6341,1.620430386
292,17141887,296737,Ventura County,4,2,,1574,6504,1.620430386
293,17142087,409716,Ventura County,3,2,,1281,5860,1.620430386
294,17142187,184182,Ventura County,3,2,,1281,6227,1.620430386
295,17142410,293880,Ventura County,3,2,,1292,6089,1.620430386
296,17142633,558907,Ventura County,4,2.5,,2190,6033,1.620430386
297,17142856,521000,Ventura County,3,2,,1459,6600,1.620430386
298,17142979,521000,Ventura County,3,2.5,,1719,6215,1.620430386
299,17143647,357036,Ventura County,4,3,,1992,4887,1.620430386
300,17143839,250201,Ventura County,3,2,,1325,3967,1.620430386
301,17144384,1219000,Ventura County,5,3.5,,3850,27891,1.620430386
302,17144430,1000215,Ventura County,4,3,,2924,25444,1.620430386
303,17144980,322202,Ventura County,5,2,,2194,6510,1.620430386
304,17145203,426661,Ventura County,4,3,,3143,6969,1.620430386
305,17145349,245534,Ventura County,2,2,,1359,4200,1.620430386
306,17145572,192724,Ventura County,4,3.5,,2624,7097,1.620430386
307,17145795,543000,Ventura County,4,2,,1950,7915,1.620430386
308,17145918,308250,Ventura County,3,2,,1973,8021,1.620430386
309,17146470,360110,Ventura County,3,2.5,,1382,7127,1.620430386
310,17146762,390709,Ventura County,5,2,,1958,6458,1.620430386
311,17147031,348991,Ventura County,4,3,,2711,7573,1.620430386
312,17147131,279219,Ventura County,4,2.5,,2211,7448,1.620430386
313,17147446,390252,Ventura County,4,3,,2312,7024,1.620430386
315,17148205,477000,Ventura County,4,2.5,,2594,9880,1.620430386
316,17148305,67400,Ventura County,3,2,,1197,6242,1.620430386
317,17148474,322202,Ventura County,3,2,,1524,6150,1.620430386
318,17148620,68291,Ventura County,5,2,,1693,6150,1.620430386
319,17148720,323855,Ventura County,4,4,,1845,6000,1.620430386
320,17148843,276351,Ventura County,4,2,,1419,6000,1.620430386
321,17149230,114546,Ventura County,4,2,,1863,7468,1.620430386
322,17149307,197421,Ventura County,3,2,,1476,6359,1.620430386
323,17149453,97774,Ventura County,3,2,,1414,6001,1.620430386
324,17149968,249453,Ventura County,2,2,,1441,6187,1.620430386
325,17150037,270065,Ventura County,3,2,,1374,7488,1.620430386
326,17150260,429606,Ventura County,4,3,,2152,6000,1.620430386
327,17150329,510160,Ventura County,5,3,,2440,9100,1.620430386
328,17150815,215431,Ventura County,3,2,,1253,6152,1.620430386
329,17151138,432000,Ventura County,3,2.5,,2112,6709,1.620430386
330,17151161,291726,Ventura County,3,3.5,,2055,14282,1.620430386
331,17151468,313526,Ventura County,4,2,,1588,4894,1.620430386
332,17151737,205971,Ventura County,4,2,,1650,7275,1.620430386
333,17151860,254775,Ventura County,4,2,,1599,6000,1.620430386
334,17152083,259872,Ventura County,4,2,,1678,7479,1.620430386
335,17155205,307550,Ventura County,3,2,,1282,4138,1.620430386
336,162960663,370206,Ventura County,4,3,,2442,5296,1.620430386
337,17157340,983000,Ventura County,4,3.5,,2638,4072,1.620430386
338,17157493,104204,Ventura County,3,2.5,,1817,4000,1.620430386
339,17157638,595000,Ventura County,3,2,,1138,4000,1.620430386
340,17157898,916760,Ventura County,3,3,,3076,4148,1.620430386
341,17157959,703786,Ventura County,3,2,,1680,10436,1.620430386
342,17159834,196548,Ventura County,2,1,,1094,6500,1.620430386
343,17160302,61101,Ventura County,6,2,,1768,6302,1.620430386
344,17160540,45807,Ventura County,3,2,,1322,6000,1.620430386
345,17160563,296787,Ventura County,2,2,,1272,6500,1.620430386
346,17160647,461828,Ventura County,4,3,,3094,11929,1.620430386
347,17160685,237794,Ventura County,3,2.5,,1842,7900,1.620430386
348,17161014,443000,Ventura County,3,2,,1878,6960,1.620430386
349,17161190,148704,Ventura County,2,2,,825,4856,1.620430386
350,17161236,95154,Ventura County,4,3,,1811,4800,1.620430386
351,17161984,94603,Ventura County,2,1.5,,1082,6000,1.620430386
352,17162450,90884,Ventura County,4,2,,1260,4407,1.620430386
353,17163335,334000,Ventura County,2,1,,1102,7000,1.620430386
354,17163585,235720,Ventura County,3,1,,1118,5150,1.620430386
355,17163837,253787,Ventura County,3,2,,1538,6451,1.620430386
356,17163983,183688,Ventura County,3,2,,1358,6003,1.620430386
357,17164611,312867,Ventura County,4,2.5,,1928,6634,1.620430386
358,17164734,95882,Ventura County,5,2,,1871,6167,1.620430386
359,17164834,36622,Ventura County,2,1,,1062,6343,1.620430386
360,17165992,245596,Ventura County,4,2,,1233,6407,1.620430386
361,17166353,45809,Ventura County,3,2,,1071,6600,1.620430386
362,17166754,204060,Ventura County,3,2,,1108,6500,1.620430386
363,17167075,373000,Ventura County,3,2,,1384,8000,1.620430386
364,17167259,238473,Ventura County,3,2,,1500,6000,1.620430386
365,17167359,268502,Ventura County,3,1,,1385,6000,1.620430386
366,17167581,179336,Ventura County,3,2,,1264,6100,1.620430386
367,17167727,239324,Ventura County,3,2,,1504,5750,1.620430386
368,17167750,345000,Ventura County,3,3,,1558,6550,1.620430386
369,17168211,57377,Ventura County,3,2,,1502,6000,1.620430386
370,17168364,149090,Ventura County,3,2,,1041,6000,1.620430386
371,17168648,55997,Ventura County,3,2,,1792,6119,1.620430386
372,17168909,56658,Ventura County,3,2,,1729,6479,1.620430386
373,17169270,213788,Ventura County,3,2,,1373,6798,1.620430386
374,17169408,50909,Ventura County,3,2,,1373,6000,1.620430386
375,17169531,51256,Ventura County,3,2,,1128,6120,1.620430386
376,17169784,50620,Ventura County,3,2,,1252,6148,1.620430386
377,17171094,432169,Ventura County,3,2,Y,2200,2450,1.620430386
378,17171140,345052,Ventura County,3,2,,1296,2450,1.620430386
380,17171362,139553,Ventura County,4,2.5,,1967,2450,1.620430386
381,17171385,108647,Ventura County,2,2,,1139,2450,1.620430386
382,17171477,100810,Ventura County,4,2,,1696,4966,1.620430386
383,17171546,825000,Ventura County,3,2.5,,2220,2450,1.620430386
384,17171569,392377,Ventura County,4,3,,2661,2450,1.620430386
386,17172725,430334,Ventura County,3,2,,1306,1750,1.620430386
387,17172771,440347,Ventura County,2,1,,680,2450,1.620430386
388,17173851,63741,Ventura County,4,2,,1848,11396,1.620430386
389,17173981,282867,Ventura County,3,1.5,,1448,6300,1.620430386
390,17174004,210283,Ventura County,3,2,,1536,6032,1.620430386
391,17174119,311860,Ventura County,4,2,,1840,6511,1.620430386
392,17174287,48424,Ventura County,3,2,,1245,6019,1.620430386
393,17175544,423921,Ventura County,3,2.5,,1780,2138,1.620430386
394,17177531,285580,Ventura County,5,3,,2336,5610,1.620430386
395,17179539,38643,Ventura County,3,1,,1023,4000,1.620430386
396,17179760,61453,Ventura County,4,2,,1260,4860,1.620430386
397,17180297,114982,Ventura County,3,1,,972,5700,1.620430386
398,17180527,181696,Ventura County,3,1,,1040,6080,1.620430386
399,17180673,230706,Ventura County,3,1.5,,1635,6050,1.620430386
400,17181111,372292,Ventura County,4,2,,1276,6000,1.620430386
401,17181287,325683,Ventura County,3,2,,1513,6000,1.620430386
402,17181393,141323,Ventura County,4,2,,1180,6400,1.620430386
403,17181523,213908,Ventura County,4,2,,1576,6499,1.620430386
404,17182107,360000,Ventura County,4,2,,1347,6702,1.620430386
405,17182276,240275,Ventura County,4,2,,1611,7549,1.620430386
406,17182963,71055,Ventura County,3,2,Y,1197,6091,1.620430386
407,17183101,121499,Ventura County,3,2,,1760,6000,1.620430386
408,17183147,199557,Ventura County,3,2,,1416,6000,1.620430386
409,17183508,164293,Ventura County,4,2.5,,2270,6350,1.620430386
410,17183608,402836,Ventura County,4,2.5,,2550,6350,1.620430386
411,17184227,49471,Ventura County,3,1.5,,1120,6000,1.620430386
412,17184395,230614,Ventura County,4,2,,1576,6261,1.620430386
413,17184518,80793,Ventura County,4,2,,1615,6087,1.620430386
414,17184910,182687,Ventura County,4,2,,1576,6149,1.620430386
415,17186063,152071,Ventura County,4,2,,1587,6303,1.620430386
416,17186378,171167,Ventura County,4,2.5,,1919,6969,1.620430386
417,17186401,150069,Ventura County,3,2.5,,1768,9654,1.620430386
418,17186800,128101,Ventura County,4,3,,1781,6100,1.620430386
419,17186946,267864,Ventura County,3,2,,1416,6100,1.620430386
420,17187246,185913,Ventura County,3,2,,1100,3479,1.620430386
421,17187563,355765,Ventura County,4,2.5,,2269,7200,1.620430386
422,17190752,351778,Ventura County,2,2,,1211,5655,1.620430386
423,17190944,390156,Ventura County,2,2,,1277,6432,1.620430386
424,17192024,442977,Ventura County,3,2.5,,3042,6519,1.620430386
425,17192316,660000,Ventura County,4,3,,2967,5962,1.620430386
426,17193454,519215,Ventura County,4,3.5,,2391,6288,1.620430386
427,17193577,997746,Ventura County,5,4,,4015,15325,1.620430386
428,17194069,959402,Ventura County,4,3,,3821,11110,1.620430386
429,17196822,328730,Ventura County,4,2,,2242,9950,1.620430386
430,17197291,407000,Ventura County,3,2.5,,1587,3300,1.620430386
431,17197781,683290,Ventura County,5,4.5,,4092,7475,1.620430386
432,17198004,634000,Ventura County,4,2.5,,2386,6068,1.620430386
433,17198685,399742,Ventura County,4,2.5,,2735,7000,1.620430386
434,17198808,571668,Ventura County,5,3,,2909,7024,1.620430386
435,17199054,394472,Ventura County,3,3,,1942,4661,1.620430386
436,17199177,311637,Ventura County,3,2.5,,2112,6381,1.620430386
437,17199546,401982,Ventura County,3,2.5,,2937,5968,1.620430386
438,17199669,535488,Ventura County,3,2.5,,2120,5518,1.620430386
439,17199792,413297,Ventura County,3,2.5,,2120,5254,1.620430386
440,17200308,567000,Ventura County,3,2.5,,1762,8674,1.620430386
441,17200554,399616,Ventura County,4,3,,2060,13164,1.620430386
442,17201353,382265,Ventura County,3,2,,1605,7976,1.620430386
443,17201376,402820,Ventura County,3,3,,1723,6803,1.620430386
444,17201522,337827,Ventura County,4,2,,1858,14810,1.620430386
445,17202014,403650,Ventura County,4,2.5,,2267,6144,1.620430386
446,17203090,111363,Ventura County,2,1,,880,6000,1.620430386
447,17203310,41028,Ventura County,3,1.5,,1040,6081,1.620430386
448,17203525,192623,Ventura County,4,2,,1558,8130,1.620430386
449,17203838,535488,Ventura County,4,2.5,,2066,11883,1.620430386
450,17204604,234979,Ventura County,2,1,,837,7149,1.620430386
451,17205795,454000,Ventura County,6,3,,2467,6500,1.620430386
452,17205818,373480,Ventura County,5,3,,1839,6701,1.620430386
453,17206448,210086,Ventura County,4,2.5,,2437,4275,1.620430386
454,17206763,232958,Ventura County,3,2,,1346,5171,1.620430386
455,17206909,210026,Ventura County,3,2,,1365,5377,1.620430386
456,17207132,288494,Ventura County,4,3.5,,1780,8486,1.620430386
457,17207570,619000,Ventura County,4,2.5,,2199,9951,1.620430386
458,17207670,479553,Ventura County,4,3,,2531,7399,1.620430386
459,17208206,672166,Ventura County,4,3,,2232,8252,1.620430386
461,17209508,834516,Ventura County,4,3,,3028,7867,1.620430386
462,17210087,233285,Ventura County,3,2.5,,1986,7173,1.620430386
463,17210171,252716,Ventura County,3,2,,1456,7416,1.620430386
464,17210294,732000,Ventura County,4,2,,2493,16770,1.620430386
465,17210394,595902,Ventura County,3,2,,1859,8797,1.620430386
466,17210617,359368,Ventura County,4,2.5,,2184,7292,1.620430386
467,17210809,213177,Ventura County,4,2.5,,2184,10018,1.620430386
468,17210978,237130,Ventura County,3,2,,1566,9102,1.620430386
469,17211001,451088,Ventura County,4,2,,1626,12493,1.620430386
470,17211293,469246,Ventura County,3,2.5,,1980,9005,1.620430386
471,17211731,121612,Ventura County,4,2.5,,2600,17169,1.620430386
472,17211769,325999,Ventura County,5,3,,2182,10200,1.620430386
